Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID,Subjects
53028775,"The Gilded Ones (Deathless, #1)",Namina Forna,"Forna, Namina",,"=""1984848690""","=""9781984848697""",0,4.04,Delacorte Press,Hardcover,432,2021,2020,,2022/02/17,to-read,to-read (#8),to-read,,,,0,,,0,,,,,,"young adult fiction, fantasy, dark fantasy~young adult fiction, animals, mythical creatures~young adult fiction, fantasy, epic~new york times bestseller~nyt:young-adult-hardcover=2021-02-28"
22590,Ubik,Philip K. Dick,"Dick, Philip K.","David Alabort, Manuel Espín","=""8498000831""","=""9788498000832""",5,4.09,La factoría de ideas,Paperback,288,2006,1969,,2021/11/22,,,read,,,,1,,,0,,,,,,"explosions~science fiction~iowa, fiction~death~motion picture plays~murder victims~fiction, science fiction, general~fiction, humorous, general~protected daisy~fiction~fiction, humorous~accessible book~large type books~terrorism~fiction / literary~fiction / science fiction / general~businessmen"
320,One Hundred Years of Solitude,Gabriel García Márquez,"Márquez, Gabriel García",Gregory Rabassa,"=""""","=""""",4,4.1,Harper,Mass Market Paperback,417,2003,1967,,2021/11/22,,,read,,,,1,,,0,,,,,,
40382407,Binti: The Complete Trilogy,Nnedi Okorafor,"Okorafor, Nnedi",,"=""""","=""""",4,4.09,DAW,Kindle Edition,368,2019,2019,,2022/01/21,,,read,,,,1,,,0,,,,,,
567678,The Wasp Factory,Iain Banks,"Banks, Iain",,"=""0684853159""","=""9780684853154""",0,3.8,Simon & Schuster (NYC),Paperback,192,1998,1984,,2021/11/22,to-read,to-read (#7),to-read,,,,0,,,0,,,,,,"teenage boys~fiction, psychological~serial murders, fiction~protected daisy~fathers and sons~psychopaths~fathers and sons, fiction~modern fiction~fiction~scotland, fiction~serial murders~murderers~accessible book~cauldhame, frank (fictitious character), fiction"
22285,Rant,Chuck Palahniuk,"Palahniuk, Chuck",,"=""0385517874""","=""9780385517874""",0,3.83,Doubleday Books,Hardcover,320,2007,2007,,2021/11/22,to-read,to-read (#6),to-read,,,,0,,,0,,,,,,"fiction, general~protected daisy~fiction~open library staff picks~accessible book~demolition derbies"
30013,Prelude to Foundation,Isaac Asimov,"Asimov, Isaac",,"=""""","=""""",4,4.14,Voyager,Paperback,464,1994,1988,,2021/11/22,,,read,,,,1,,,0,,,,,,
37588679,Eight Dates: Essential Conversations for a Lifetime of Love,John M. Gottman,"Gottman, John M.","約翰·高特曼, Douglas Carlton Abrams, 陳岡伯","=""1523504463""","=""9781523504466""",0,4.21,Workman Publishing Company,Hardcover,224,2019,2019,,2021/11/22,currently-reading,currently-reading (#1),currently-reading,,,,1,,,0,,,,,,"""~="
44439415,"God Emperor of Dune (Dune Chronicles, #4)",Frank Herbert,"Herbert, Frank",Brian Herbert,"=""0593098250""","=""9780593098257""",0,3.87,Ace Books,Paperback,587,2019,1981,,2021/11/22,,,read,,,,1,,,0,,,,,,"dune (imaginary place), fiction~science fiction~protected daisy~dune (imaginary place)~fiction, science fiction, general~français (langue)~fiction~science-fiction~roman~littérature fantastique~lectures et morceaux choisis~accessible book~american science fiction"
44492286,"Children of Dune (Dune Chronicles, #3)",Frank Herbert,"Herbert, Frank",Brian Herbert,"=""0593098242""","=""9780593098240""",0,3.95,Ace Books,Paperback,609,2019,1976,,2021/11/22,,,read,,,,1,,,0,,,,,,"dune (imaginary place), fiction~science fiction~reading level-grade 8~protected daisy~dune (imaginary place)~fiction, science fiction, general~reading level-grade 7~reading level-grade 9~reading level-grade 11~reading level-grade 12~fiction~fiction, fantasy, general~accessible book~fiction in english~reading level-grade 10~american science fiction"
44492285,"Dune Messiah (Dune Chronicles, #2)",Frank Herbert,"Herbert, Frank",Brian Herbert,"=""0593098234""","=""9780593098233""",5,3.89,Ace Books,Mass Market Paperback,337,2019,1969,,2021/11/22,,,read,,,,1,,,0,,,,,,"dune (imaginary place), fiction~dune (imaginary place)~fiction~roman américain~roman ame ricain~translations into russian~science-fiction américaine~fiction, science fiction, general~novela~imaginary places~science-fiction ame ricaine~lectures et morceaux choisis~anglais (langue)~american science fiction~protected daisy~dune (lugar imaginario)~science fiction~long now manual for civilization~accessible book~fiction in english"
44767458,"Dune (Dune, #1)",Frank Herbert,"Herbert, Frank",,"=""059309932X""","=""9780593099322""",5,4.25,Ace Books,Hardcover,658,2019,1965,,2021/11/22,,,read,,,,1,,,0,,,,,,"dune (imaginary place), fiction~science fiction~nyt:trade-fiction-paperback=2021-11-07~dune (imaginary place)~fiction, science fiction, general~award:hugo_award=novel~nyt:mass-market-monthly=2021-11-07~american literature~award:nebula_award=novel~fiction~new york times reviewed~science-fiction~new york times bestseller~award:hugo_award=1966~accessible book~hugo award winner"
127455,"The Lies of Locke Lamora (Gentleman Bastard, #1)",Scott Lynch,"Lynch, Scott",,"=""0553804677""","=""9780553804676""",5,4.28,Bantam Spectra,Hardcover,499,2006,2006,,2020/06/20,,,read,,,,1,,,0,,,,,,"protected daisy~fantasy~fiction~fiction / fantasy / epic~fiction, fantasy, general~american science fiction and fantasy~fantasy - epic~accessible book~fiction - fantasy"
17349126,Focus: The Hidden Driver of Excellence,Daniel Goleman,"Goleman, Daniel",,"=""0062114867""","=""9780062114860""",0,3.54,Harper,Hardcover,320,2013,2013,,2021/07/14,,,read,,,,1,,,0,,,,,,
10799,A Farewell to Arms,Ernest Hemingway,"Hemingway, Ernest",,"=""0099910101""","=""9780099910107""",5,3.81,Arrow Books,Paperback,293,2004,1929,2021/05/26,2021/05/24,,,read,,,,1,,,0,,,,,,"man-woman relationships~military deserters~open_syllabus_project~fiction~world war, 1914-1918, fiction~war~spain, fiction~american writers, 1900-1945 - texts~biography~american literature~open library staff picks~american fiction (fictional works by one author)~lectures et morceaux choisis~guerra mundial i, 1914-1918~cuentos de guerra~fiction, war & military~protected daisy~1914-1918 world war~fiction, historical~français (langue)~national theatre (new york, n.y. : houston street and 2nd avenue)~world war (1914-1918) fast (ocolc)fst01180746~war stories~ficción~campaigns~actors~american fiction~fiction, romance, historical~world war, 1914-1918~man-woman relationship~large type books~fiction in english~american war stories~accessible book~german language materials~theater~autographs"
929,Memoirs of a Geisha,Arthur Golden,"Golden, Arthur",,"=""1400096898""","=""9781400096893""",0,4.13,Vintage Books USA,Mass Market Paperback,503,2005,1997,,2021/05/24,,,read,,,,1,,,0,,,,,,"geishas~fiction~japan, fiction~fiction, historical, general~historical fiction~history~historia~literature~social life and customs~prostitution~open library staff picks~mujeres~protected daisy~fiction, historical~japan~women~ficción~fictional works publication type~accessible book~large type books"
5203,She's Come Undone,Wally Lamb,"Lamb, Wally",,"=""0671021001""","=""9780671021009""",4,3.89,Pocket,Mass Market Paperback,465,1998,1992,,2021/05/24,,,read,,,,1,,,0,,,,,,protected daisy~self-perception~fiction~overweight women~accessible book~psychology~women~large type books
7672,Congo,Michael Crichton,"Crichton, Michael",,"=""0060541830""","=""9780060541835""",4,3.61,Avon Books,Paperback,442,2003,1980,,2021/05/24,,,read,,,,1,,,0,,,,,,"fiction, thrillers~fiction~archaeology~fiction, thrillers, general~gorilla~horror stories~kakundakari~diamonds~africa, fiction~american science fiction~fiction, mystery & detective, general~protected daisy~thrillers~type iib~adventure fiction~science fiction~ancient civilization~accessible book~large type books~adventure stories"
1967070,Coraline,P. Craig Russell,"Russell, P. Craig",Neil Gaiman,"=""006082543X""","=""9780060825430""",4,4.04,HarperAlley,Hardcover,192,2008,2002,,2021/05/24,,,read,,,,1,,,0,,,,,,"sobrenatural~supernatural~graphic novels~spanish language materials~protected daisy~fiction~libros de caricaturas, tiras cómicas~juvenile literature~horror stories~ficción juvenil~accessible book~comic books, strips"
12067,"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",Terry Pratchett,"Pratchett, Terry",Neil Gaiman,"=""""","=""""",5,4.24,William Morrow,Mass Market Paperback,491,2006,1990,,2021/05/24,,,read,,,,1,,,0,,,,,,
43190272,"To Be Taught, If Fortunate",Becky Chambers,"Chambers, Becky",,"=""0062936018""","=""9780062936011""",5,4.21,Harper Voyager,Paperback,153,2019,2019,,2021/05/24,,,read,,,,1,,,0,,,,,,"fiction, science fiction, general~science fiction~american literature~fiction"
33280160,What We Lose,Zinzi Clemmons,"Clemmons, Zinzi",,"=""0735221715""","=""9780735221710""",4,3.62,Viking,Hardcover,213,2017,2017,,2021/05/24,,,read,,,,1,,,0,,,,,,"african americans, fiction~protected daisy~african american women~fiction, family life~loss (psychology)~mothers and daughters~fiction~accessible book~large type books~fiction, african american, general~mothers and daughters, fiction"
40611463,The Clan of the Cave Bear (Earth's Children #1),Jean M. Auel,"Auel, Jean M.",,"=""""","=""""",5,4.07,Bantam ,Kindle Edition,516,2016,1980,,2021/05/24,,,read,,,,1,,,0,,,,,,
32622432,A Gift of Time,Jerry Merritt,"Merritt, Jerry",,"=""""","=""""",4,4.16,,Kindle Edition,353,2016,2016,,2021/05/24,,,read,,,,1,,,0,,,,,,
28921,The Remains of the Day,Kazuo Ishiguro,"Ishiguro, Kazuo",,"=""""","=""""",4,4.14,Faber & Faber,Paperback,258,2005,1989,,2021/05/24,,,read,,,,1,,,0,,,,,,
18774964,A Man Called Ove,Fredrik Backman,"Backman, Fredrik",Henning Koch,"=""1476738017""","=""9781476738017""",5,4.36,Atria Books,Hardcover,337,2014,2012,,2021/05/24,,,read,,,,1,,,0,,,,,,"friendship, fiction~neighborhoods~novel~translation~protected daisy~fiction, humorous, general~friendship~fiction~fiction, humorous~nyt:e-book-fiction=2016-10-30~new york times bestseller~neighbors~older men~accessible book~love"
386372,"Mort (Discworld, #4; Death, #1)",Terry Pratchett,"Pratchett, Terry",,"=""0061020680""","=""9780061020681""",4,4.22,Harpertorch,Mass Market Paperback,243,2001,1987,,2021/01/07,,,read,,,,1,,,0,,,,,,"death~literature and fiction, fantasy~protected daisy~humor~fiction, humorous, general~fantasy~fiction~anthropomorphic.~fiction, humorous~discworld (imaginary place), fiction~fiction, fantasy, general~accessible book~discworld (imaginary place)~satire~death (fictitious character : pratchett), fiction"
34507,"Equal Rites (Discworld, #3; Witches, #1)",Terry Pratchett,"Pratchett, Terry",,"=""0060855908""","=""9780060855901""",5,4.03,Harper Perennial,Paperback,240,2005,1987,,2021/01/05,,,read,,,,1,,,0,,,,,,"margaret a. edwards award~fiction, humorous, general~fiction~discworld (imaginary place), fiction~fiction, fantasy, general~discworld (imaginary place)~literature and fiction, fantasy~fiction, science fiction, general~fiction, satire~fantasy fiction~protected daisy~fantasy~fiction, humorous~science fiction~english fantasy fiction~translations into spanish~wizards~translations from english~accessible book~granny weatherwax (fictitious character), fiction~samuel vimes (fictitious character)~spanish fantasy fiction"
